Time,Message
2017/03/16 18:48:52,"completed work : Grid row(0), 9,6, 9, 6"
2017/03/16 18:48:52,"completed work : Grid row(4), 9,1, 9, 1"
2017/03/16 18:48:53,"completed work : Grid row(266), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(267), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(268), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(281), 3,0, 3, 0"
2017/03/16 18:48:53,"completed work : Grid row(284), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(301), 1,0, 1, 0"
2017/03/16 18:48:53,"completed work : Grid row(302), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(306), 3,0, 3, 0"
2017/03/16 18:48:53,"completed work : Grid row(307), 8,0, 8, 0"
2017/03/16 18:48:53,"completed work : Grid row(309), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(310), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(311), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(312), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(313), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(314), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(316), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(317), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(318), 6,0, 6, 0"
2017/03/16 18:48:53,"completed work : Grid row(319), 3,0, 3, 0"
2017/03/16 18:48:53,"completed work : Grid row(320), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(323), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(331), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(332), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(333), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(348), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(363), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(364), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(375), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(376), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(377), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(391), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(406), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(415), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(416), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(417), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(418), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(422), 1,0, 1, 0"
2017/03/16 18:48:53,"completed work : Grid row(433), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(434), 4,0, 4, 0"
2017/03/16 18:48:53,"completed work : Grid row(435), 3,0, 3, 0"
2017/03/16 18:48:53,"completed work : Grid row(439), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(440), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(441), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(442), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(443), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(445), 3,0, 3, 0"
2017/03/16 18:48:53,"completed work : Grid row(446), 6,0, 6, 0"
2017/03/16 18:48:53,"completed work : Grid row(447), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(448), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(450), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(451), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(452), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(453), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(455), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(456), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(457), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(458), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(459), 9,0, 9, 0"
2017/03/16 18:48:53,"completed work : Grid row(460), 9,0, 9, 0"
2017/03/16 18:48:53,"not found soid : 0, 0"
2017/03/16 18:48:53,"SO_ID not found : 0, 0"
2017/03/16 18:48:53,"not found soid : 1, 0"
2017/03/16 18:48:53,"SO_ID not found : 1, 0"
2017/03/16 18:48:53,"not found soid : 2, 0"
